id,average_intensity
15,16.158165
15,16.137125
15,16.265926
15,16.67724
15,16.9244
15,17.070621
15,16.677946
15,16.854033
15,17.05892
15,16.913366
15,16.880299
15,16.787292
15,16.680668
15,17.002573
15,17.222725
15,17.373848
15,17.012459
15,16.899715
15,16.820902
15,17.01308
15,16.886707
15,16.890982
15,16.733852
15,16.985687
15,17.078892
15,16.988565
15,17.051586
15,17.16009
15,17.030691
15,17.623524
15,17.09674
15,16.823769
15,16.705698
15,16.788492
15,16.762035
15,16.902601
16,15.674044
16,15.743244
16,15.835411
16,15.935787
16,15.888059
16,16.312737
16,16.121912
16,16.18654
16,15.888429
16,15.815174
16,15.740631
16,15.790112
16,15.860416
16,15.705212
16,15.414422
16,15.774706
16,15.588311
16,15.9619465
16,15.739837
16,15.976411
16,15.926624
16,16.070545
16,16.14171
16,16.116293
16,16.03344
16,16.243391
16,16.269295
16,16.150068
16,16.300594
16,16.265045
16,16.116566
16,16.23177
16,16.000504
16,15.886567
16,15.779383
16,15.849179
16,15.590544
16,15.680504
16,15.748347
16,15.918604
16,15.706927
16,15.968167
16,15.876619
16,15.981514
16,15.979332
16,16.275621
16,16.071634
16,16.089144
16,16.049713
16,15.830758
16,15.725415
16,15.865601
17,18.127897
17,17.811825
17,17.720463
17,17.905874
17,17.716793
17,17.82664
17,18.137766
17,18.0858
17,18.116667
17,18.116259
17,18.195118
17,18.354776
17,18.73716
17,18.546707
17,18.070837
17,18.073349
17,18.168777
17,18.200184
17,18.17701
17,18.162416
17,18.344872
17,18.106821
17,18.042141
17,18.327255
17,18.28962
17,17.971632
17,17.820753
17,18.056221
17,17.894773
17,17.941566
17,17.949326
17,17.715982
17,17.969242
17,18.008482
17,17.980078
17,18.006947
17,18.288946
17,18.141972
17,18.47305
17,18.074888
17,18.021511
17,17.483227
17,17.87114
17,17.720507
17,17.686735
17,17.602108
17,17.831343
17,17.674755
17,17.818535
17,17.504488
17,17.397911
17,17.351675
18,14.869204
18,14.733413
18,14.81513
18,14.735649
18,15.006679
18,15.029956
18,15.075834
18,14.923417
18,15.071946
18,15.165171
18,15.166048
18,14.982158
18,14.729437
18,14.67253
18,14.69062
18,14.688987
18,14.516772
18,14.267934
18,14.605834
18,14.8581915
18,15.221474
18,15.239226
18,15.045085
18,15.000966
18,15.254337
18,15.579284
18,15.678522
18,15.56115
18,15.458676
18,15.522861
18,15.476797
18,15.364687
18,15.2908325
18,15.393499
18,15.409801
18,15.569691
18,15.50324
18,15.4704075
18,15.5175295
18,15.514266
18,15.55965
18,15.636743
18,15.462751
18,15.661858
18,15.418071
18,15.554283
18,15.601352
18,15.517527
18,15.541834
18,15.7321
18,15.761643
18,15.38237
19,15.8783655
19,16.156506
19,16.084751
19,16.14065
19,16.224936
19,16.284552
19,16.105776
19,16.357008
19,16.08186
19,16.4816
19,16.324005
19,16.492529
19,16.61583
19,16.579315
19,16.582521
19,16.667898
19,16.626348
19,16.931137
19,16.591776
19,16.886723
19,16.569014
19,17.083096
19,17.002777
19,16.85677
19,16.761284
19,16.663633
19,16.883896
19,16.768847
19,16.745674
19,16.582804
19,16.308767
19,16.664038
19,16.646418
19,16.374084
19,16.149464
19,16.218801
19,16.04576
19,16.200743
19,16.313583
19,16.214392
19,16.106049
19,16.272762
19,16.475882
19,16.329203
19,16.374475
19,16.118883
19,16.190117
19,16.406145
19,16.44571
19,16.210222
19,16.015888
19,16.345028
20,15.688561
20,15.574007
20,15.50687
20,15.560233
20,15.423143
20,15.778513
20,15.781859
20,15.776591
20,16.018915
20,15.8020315
20,15.779358
20,15.97384
20,15.989276
20,16.10676
20,16.08443
20,15.896436
20,15.843109
20,16.070581
20,15.890258
20,15.8700905
20,15.693038
20,15.898696
20,15.892432
20,15.731949
20,15.916324
20,16.005993
20,15.890111
20,16.008728
20,16.070097
20,16.02704
20,16.018093
20,16.283453
20,16.18297
20,16.283815
20,16.433712
20,16.25386
20,16.45942
20,16.508387
20,16.124006
20,16.217062
20,16.172016
20,16.280516
20,16.21335
20,16.397032
20,16.094675
20,16.017347
20,16.203348
20,16.202192
20,16.207092
20,16.117136
20,16.286757
20,16.354658
21,17.202377
21,17.350164
21,17.474367
21,17.379559
21,17.229479
21,16.969597
21,17.105745
21,17.153723
21,17.156303
21,17.019905
21,17.040087
21,17.06755
21,16.900934
21,16.974531
21,16.741148
21,16.729143
21,16.49844
21,16.494202
21,16.394245
21,16.794167
21,16.468224
21,16.697441
21,16.753336
21,16.75931
21,16.621496
21,16.567196
21,16.772799
21,16.980366
21,16.62489
21,16.628223
21,16.371628
21,16.593023
21,16.460762
21,16.023594
21,16.219162
21,16.265656
21,16.423595
21,16.513666
21,16.62931
21,16.893837
21,16.91824
21,17.18926
21,17.217628
21,17.353642
21,17.164042
21,16.971064
21,16.825098
21,16.535007
21,16.733583
21,16.84746
21,16.844526
21,16.825226
22,16.496567
22,16.395014
22,16.391563
22,16.343111
22,16.135628
22,16.165922
22,16.522915
22,16.885916
22,17.464947
22,17.710907
22,17.395012
22,17.413433
22,17.919
22,17.74798
22,17.867785
22,18.004248
22,17.958534
22,18.275002
22,18.258945
22,18.717163
22,18.258677
22,18.113195
22,18.103037
22,18.30435
22,18.663593
22,18.594769
22,18.793074
22,19.342777
22,19.594088
22,18.964859
22,19.184328
22,19.059603
22,19.02493
22,18.99539
22,19.509338
22,19.812038
22,18.915236
22,18.530977
22,18.535994
22,18.877562
22,18.508738
22,18.204842
22,17.934856
22,17.846687
22,17.499239
22,17.22901
22,17.1128
22,17.109072
22,17.470514
22,17.711784
22,17.602324
22,16.78982
23,16.045029
23,15.87506
23,15.908975
23,15.959129
23,16.01246
23,15.727286
23,15.712331
23,15.634706
23,15.972669
23,15.777126
23,16.100655
23,16.23135
23,16.122059
23,16.215637
23,15.958241
23,15.696086
23,15.804411
23,15.838661
23,15.6809
23,15.614321
23,15.792299
23,15.883058
23,15.571648
23,15.734858
23,15.855928
23,15.786028
23,15.976824
23,16.372253
23,16.13981
23,16.131134
23,16.121359
23,16.07843
23,16.097162
23,16.171295
23,16.015686
23,16.297937
23,16.312532
23,16.204094
23,16.166584
23,16.018055
23,15.966672
23,15.782354
23,15.97737
23,15.997308
23,16.109344
23,15.941266
23,16.081131
23,16.061697
23,16.157835
23,16.018461
23,15.793798
23,15.867269
24,15.020012
24,15.117826
24,15.278457
24,15.033735
24,15.235589
24,15.135925
24,15.6575985
24,15.727816
24,15.934822
24,15.990114
24,16.46036
24,16.34606
24,16.477673
24,16.575554
24,16.599783
24,16.617582
24,16.635942
24,16.12669
24,15.853953
24,15.689227
24,15.806128
24,15.571024
24,15.498973
24,15.9783535
24,15.966576
24,15.834474
24,15.864896
24,15.798404
24,15.646332
24,15.511352
24,15.698752
24,15.473323
24,15.251879
24,15.042672
24,15.400376
24,15.237675
24,15.643466
24,15.2372675
24,15.587953
24,15.553175
24,15.634987
24,15.480815
24,15.487915
24,15.219045
24,15.249926
24,15.174833
24,15.015023
24,15.104215
24,15.19921
24,14.883848
24,15.173668
24,15.011235
25,16.296793
25,16.013279
25,16.339622
25,16.26069
25,16.152033
25,16.26577
25,16.05663
25,15.895092
25,16.316914
25,16.151814
25,16.335077
25,16.50658
25,16.538857
25,16.503513
25,16.21701
25,16.088976
25,16.412436
25,16.591263
25,16.577572
25,16.811571
25,16.372192
25,16.407932
25,16.120901
25,16.298141
25,16.32326
25,16.439415
25,16.477623
25,16.452217
25,16.249897
25,16.404497
25,16.556974
25,16.276628
25,16.337471
25,16.510225
25,16.679712
25,16.352205
25,16.490196
25,16.471132
25,16.574179
25,16.546942
25,16.536926
25,16.403748
25,16.476685
25,16.712187
25,16.509697
25,16.322264
25,16.104553
25,16.403906
25,16.473282
25,16.635893
25,16.414888
25,16.512789
26,15.959606
26,16.052265
26,16.11841
26,16.04976
26,15.983657
26,15.927638
26,15.658297
26,15.826805
26,15.860776
26,15.804444
26,15.6539135
26,15.771804
26,15.852612
26,15.930827
26,15.903839
26,16.15622
26,16.099678
26,16.277754
26,16.32596
26,16.340092
26,16.170527
26,16.369436
26,16.10121
26,16.343235
26,16.347172
26,16.317255
26,16.238256
26,16.317478
26,16.329344
26,16.257322
26,16.209137
26,16.216127
26,16.269121
26,16.181473
26,16.208778
26,16.073792
26,16.106117
26,16.269863
26,16.49666
26,16.371555
26,16.492542
26,16.53893
26,16.499332
26,16.646301
26,16.55358
26,16.57571
26,16.307426
26,16.46072
26,16.247185
26,16.335894
26,16.418993
26,16.334673
27,15.218411
27,15.276544
27,15.466344
27,15.423391
27,15.505992
27,15.395961
27,15.4845705
27,15.475842
27,15.591207
27,15.449476
27,15.569999
27,15.51264
27,15.670814
27,15.820547
27,15.981147
27,15.95264
27,16.012821
27,15.779386
27,16.07574
27,15.767831
27,15.771994
27,15.743157
27,15.768171
27,15.872247
27,15.676541
27,15.5978
27,15.834189
27,15.853999
27,15.823297
27,15.752925
27,15.868429
27,15.950699
27,16.1403
27,16.133287
27,16.017649
27,15.776288
27,15.707826
27,15.823492
27,15.850865
27,15.904252
27,15.912268
27,15.947484
27,16.096214
27,15.992526
27,16.127693
27,15.93642
27,16.024935
27,15.893097
27,15.861907
27,15.721743
27,15.843328
27,15.77233
28,15.615032
28,14.968454
28,14.758932
28,15.128737
28,15.269976
28,15.522588
28,14.687603
28,14.315175
28,14.317374
28,14.444001
28,14.694568
28,14.768837
28,14.589118
28,14.521047
28,14.488366
28,14.426937
28,14.606706
28,14.704453
28,14.759391
28,14.605121
28,14.515995
28,14.40619
28,14.361049
28,14.4743595
28,14.223493
28,14.264265
28,14.337735
28,14.292588
28,14.25727
28,14.278746
28,14.311327
28,14.296544
28,14.2291355
28,14.095898
28,13.932674
28,13.978618
28,13.861293
28,14.021501
28,14.093344
28,14.115175
28,14.185553
28,14.179611
28,14.271208
28,14.1499195
28,14.274503
28,14.224962
28,14.256256
28,14.060878
28,14.040635
28,14.19057
28,14.159292
28,14.249161
29,12.521143
29,12.310392
29,12.33601
29,12.415286
29,12.929895
29,12.748778
29,12.854971
29,12.850044
29,13.136877
29,13.105487
29,12.879505
29,12.630614
29,12.593912
29,12.797284
29,13.028506
29,12.941082
29,13.104971
29,13.311577
29,12.921014
29,13.313472
29,13.55054
29,13.603185
29,13.355657
29,13.513549
29,13.4650755
29,13.4197
29,13.020518
29,12.852573
29,12.628457
29,12.6687
29,12.68162
29,12.480996
29,12.410921
29,12.522666
29,12.477722
29,12.662124
29,12.506273
29,12.492993
29,12.512309
29,12.440311
29,12.338908
29,12.384718
29,12.4451475
29,12.4903
29,12.511915
29,12.328949
29,12.189568
29,12.183858
29,12.244955
29,12.259359
29,12.506887
29,12.377416
30,11.84102
30,11.891719
30,11.667729
30,11.724095
30,11.566821
30,11.756426
30,11.966098
30,11.801783
30,11.809424
30,11.800578
30,11.737692
30,11.735154
30,11.868897
30,11.760358
30,11.746172
30,11.739026
